t,S,Sym,Power,Elite
1.246246246246246336e+01,8.671288465481141738e-02,2.663982534382500211e-02,3.585595009812295730e-01,1.167114583120408611e+00
1.251251251251251340e+01,8.719989138078571012e-02,2.666276840077665827e-02,3.570855893781331170e-01,1.167839143312561667e+00
1.256256256256256343e+01,8.768963328910442390e-02,2.668573121701184672e-02,3.556177365056178430e-01,1.168564153321279164e+00
1.261261261261261346e+01,8.818212574140854576e-02,2.670871380954789251e-02,3.541559174583798209e-01,1.169289613425813279e+00
1.266266266266266349e+01,8.867738418561477154e-02,2.673171619541676175e-02,3.527001074334921715e-01,1.170015523905589161e+00
1.271271271271271353e+01,8.917542415640014597e-02,2.675473839166510326e-02,3.512502817299842373e-01,1.170741885040205821e+00
1.276276276276276356e+01,8.967626127568940897e-02,2.677778041535423467e-02,3.498064157484219727e-01,1.171468697109435908e+00
1.281281281281281359e+01,9.017991125314474277e-02,2.680084228356017020e-02,3.483684849904913894e-01,1.172195960393225489e+00
1.286286286286286362e+01,9.068638988665894685e-02,2.682392401337363452e-02,3.469364650585819998e-01,1.172923675171694713e+00
1.291291291291291365e+01,9.119571306285056966e-02,2.684702562190007663e-02,3.455103316553735371e-01,1.173651841725137146e+00
1.296296296296296369e+01,9.170789675756242654e-02,2.687014712625965945e-02,3.440900605834232850e-01,1.174380460334020881e+00
1.301301301301301372e+01,9.222295703636269881e-02,2.689328854358731535e-02,3.426756277447559063e-01,1.175109531278987873e+00
1.306306306306306375e+01,9.274091005504886409e-02,2.691644989103270796e-02,3.412670091404539918e-01,1.175839054840854603e+00
1.311311311311311378e+01,9.326177206015426324e-02,2.693963118576028423e-02,3.398641808702516642e-01,1.176569031300611190e+00
1.316316316316316382e+01,9.378555938945805359e-02,2.696283244494927442e-02,3.384671191321281802e-01,1.177299460939422948e+00
1.321321321321321385e+01,9.431228847249734093e-02,2.698605368579370598e-02,3.370758002219048088e-01,1.178030344038629273e+00
1.326326326326326388e+01,9.484197583108273932e-02,2.700929492550240354e-02,3.356902005328420424e-01,1.178761680879744311e+00
1.331331331331331391e+01,9.537463807981648445e-02,2.703255618129902019e-02,3.343102965552396388e-01,1.179493471744457400e+00
1.336336336336336394e+01,9.591029192661361391e-02,2.705583747042204085e-02,3.329360648760373853e-01,1.180225716914632184e+00
1.341341341341341398e+01,9.644895417322611741e-02,2.707913881012480317e-02,3.315674821784176940e-01,1.180958416672307498e+00
1.346346346346346401e+01,9.699064171576979310e-02,2.710246021767549057e-02,3.302045252414104182e-01,1.181691571299697374e+00
1.351351351351351404e+01,9.753537154525442066e-02,2.712580171035717733e-02,3.288471709394985010e-01,1.182425181079190812e+00
1.356356356356356407e+01,9.808316074811648799e-02,2.714916330546779388e-02,3.274953962422257892e-01,1.183159246293352451e+00
1.361361361361361411e+01,9.863402650675538730e-02,2.717254502032020319e-02,3.261491782138061790e-01,1.183893767224921900e+00
1.366366366366366414e+01,9.918798610007216465e-02,2.719594687224214519e-02,3.248084940127344833e-01,1.184628744156814850e+00
1.371371371371371417e+01,9.974505690401168356e-02,2.721936887857631313e-02,3.234733208913988523e-01,1.185364177372122185e+00
1.376376376376376420e+01,1.003052563921074114e-01,2.724281105668030847e-02,3.221436361956950267e-01,1.186100067154110649e+00
1.381381381381381424e+01,1.008686021360298002e-01,2.726627342392670683e-02,3.208194173646414238e-01,1.186836413786223066e+00
1.386386386386386427e+01,1.014351118061372209e-01,2.728975599770302671e-02,3.195006419299970535e-01,1.187573217552077898e+00
1.391391391391391430e+01,1.020048031720303117e-01,2.731325879541176768e-02,3.181872875158798242e-01,1.188310478735469911e+00
1.396396396396396433e+01,1.025776941031093931e-01,2.733678183447042082e-02,3.168793318383869018e-01,1.189048197620369729e+00
1.401401401401401436e+01,1.031538025691349503e-01,2.736032513231147559e-02,3.155767527052167898e-01,1.189786374490924947e+00
1.406406406406406440e+01,1.037331466407912101e-01,2.738388870638242684e-02,3.142795280152926862e-01,1.190525009631458797e+00
1.411411411411411443e+01,1.043157444902530484e-01,2.740747257414580945e-02,3.129876357583876167e-01,1.191264103326471480e+00
1.416416416416416446e+01,1.049016143917560345e-01,2.743107675307919144e-02,3.117010540147507336e-01,1.192003655860639499e+00
1.421421421421421449e+01,1.054907747221694447e-01,2.745470126067518779e-02,3.104197609547356684e-01,1.192743667518816553e+00
1.426426426426426453e+01,1.060832439615729678e-01,2.747834611444148478e-02,3.091437348384298844e-01,1.193484138586032861e+00
1.431431431431431456e+01,1.066790406938359914e-01,2.750201133190084343e-02,3.078729540152861932e-01,1.194225069347495394e+00
1.436436436436436459e+01,1.072781836072009692e-01,2.752569693059112033e-02,3.066073969237549379e-01,1.194966460088588756e+00
1.441441441441441462e+01,1.078806914948692297e-01,2.754940292806527455e-02,3.053470420909185079e-01,1.195708311094874077e+00
1.446446446446446465e+01,1.084865832555906712e-01,2.757312934189137810e-02,3.040918681321268524e-01,1.196450622652090345e+00
1.451451451451451469e+01,1.090958778942564822e-01,2.759687618965264364e-02,3.028418537506346042e-01,1.197193395046153519e+00
1.456456456456456472e+01,1.097085945224952203e-01,2.762064348894741062e-02,3.015969777372399796e-01,1.197936628563157413e+00
1.461461461461461475e+01,1.103247523592724433e-01,2.764443125738919038e-02,3.003572189699245110e-01,1.198680323489373034e+00
1.466466466466466478e+01,1.109443707314933247e-01,2.766823951260665923e-02,2.991225564134951109e-01,1.199424480111249469e+00
1.471471471471471482e+01,1.115674690746090852e-01,2.769206827224366535e-02,2.978929691192267470e-01,1.200169098715413440e+00
1.476476476476476485e+01,1.121940669332264218e-01,2.771591755395926351e-02,2.966684362245074480e-01,1.200914179588669528e+00
1.481481481481481488e+01,1.128241839617208503e-01,2.773978737542772202e-02,2.954489369524837539e-01,1.201659723018000836e+00
1.486486486486486491e+01,1.134578399248527686e-01,2.776367775433851229e-02,2.942344506117088865e-01,1.202405729290568104e+00
1.491491491491491495e+01,1.140950546983878766e-01,2.778758870839636089e-02,2.930249565957909752e-01,1.203152198693710373e+00
1.496496496496496675e+01,1.147358482697203308e-01,2.781152025532122873e-02,2.918204343830440028e-01,1.203899131514945653e+00
1.501501501501501679e+01,1.153802407384996870e-01,2.783547241284833884e-02,2.906208635361391956e-01,1.204646528041969811e+00
