t,ext_stimulus,novelty,context,stress,opto_dopamine,opto_ach,opto_poa,sensory,mpoa_drive,dopamine,ach,nac_d1,nac_d2,pfc_control,mount,intromission,seg_ready,network_drive,threshold,refractory,event,phase
546,0.65,0.18,0.55,0.05,0.0,0.0,0.0,0.4218507381134129,0.5647288663161099,1.1696644554954356,0.3051219304594739,1.6,0.30859136794819086,0.0,0.3268848224350086,0.6096995952732855,0.39566522285131783,0.42156277440284706,1.0535691560238516,1.0701847660973713,0,refractory
547,0.65,0.18,0.55,0.05,0.0,0.0,0.0,0.41945059055372774,0.4584550244826181,0.9743983531392112,0.16748046781774917,1.5645063267652228,0.36365616910576054,0.0,0.2624573348315824,0.5734285491326774,0.25236047282019675,0.30356713418688847,1.0524221719316846,1.0606934727346897,0,refractory
548,0.65,0.18,0.55,0.05,0.0,0.0,0.0,0.4235894208584526,0.3463071168076802,0.7568195308470399,0.03167507064952932,1.480972077571874,0.4409382336769905,0.0024165748533955603,0.17509177490619368,0.5116003118851506,0.07174589361188494,0.1562763213609936,1.0512832167281627,1.0512686184255469,0,refractory
549,0.65,0.18,0.55,0.05,0.0,0.0,0.0,0.41460448312866593,0.22582763656650195,0.535019547180693,0.0,1.3581557073669157,0.5398412105425234,0.022393239932144562,0.06273527099588118,0.43066054776592133,0.0,0.03619117281367398,1.0501522342110656,1.041909738096568,0,refractory
550,0.65,0.18,0.2,0.05,0.0,0.0,0.0,0.4175762028936307,0.09823870954949679,0.31512345937046815,0.0,1.2010803311537372,0.6590635034625293,0.0586921266055196,0.0,0.3399360081410281,0.0,-0.06128452270893847,1.0490291685715882,1.032616369929892,0,refractory
551,0.65,0.18,0.2,0.05,0.0,0.0,0.0,0.4195053437126621,0.0,0.10153728101381601,0.0,1.013398199784152,0.7968398189593321,0.11040747958962019,0.0,0.2467262315477665,0.0,-0.15283467581819807,1.0479139643915871,1.0233880553403827,0,refractory
552,0.65,0.18,0.2,0.05,0.0,0.0,0.0,0.4185095016423684,0.0,0.0,0.0,0.8196537591584154,0.9388043946522114,0.16829387839941537,0.0,0.15059985811290744,0.0,-0.22101548996647918,1.046806566640846,1.014224338953,0,refractory
553,0.65,0.18,0.2,0.05,0.0,0.0,0.0,0.4145770733458108,0.0,0.0,0.0,0.6405710753429664,1.072571095593961,0.22420625647412118,0.0,0.052693616785017786,0.0,-0.2729590010814869,1.04570692067436,1.0051247685803288,0,refractory
554,0.65,0.18,0.2,0.05,0.0,0.0,0.0,0.42071738933667946,0.0,0.0,0.0,0.47511612783931934,1.1985575130439021,0.2777000979408315,0.0,0.0,0.0,-0.31451007947666504,1.0446149722296396,0.9960888952002666,0,refractory
555,0.65,0.18,0.2,0.05,0.0,0.0,0.0,0.4044426766952736,0.0,0.0,0.0,0.322327331466535,1.3171603048157388,0.32996769507574053,0.0,0.0,0.0,-0.34456582070418784,1.043530667424032,0.9871162729338647,0,refractory
556,0.65,0.18,0.2,0.05,0.0,0.0,0.0,0.41006950300891387,0.0,0.0,0.0,0.18131046551181385,1.4287562423270155,0.37995210083920594,0.0,0.0,0.0,-0.372622051050313,1.0424539527520638,0.9782064590233277,0,refractory
557,0.65,0.18,0.2,0.05,0.0,0.0,0.0,0.413297097550461,0.0,0.0,0.0,0.05123395784318757,1.533703205293464,0.42784097467958476,0.0,0.0,0.0,-0.39880692809991813,1.0413847750827994,0.9693590138101644,0,refractory
558,0.65,0.18,0.2,0.05,0.0,0.0,0.0,0.4167989765737887,0.0,0.0,0.0,0.0,1.6,0.4736830193884768,0.0,0.0,0.0,-0.41385292442467725,1.0403230816572198,0.9605735007134932,0,refractory
559,0.65,0.18,0.2,0.05,0.0,0.0,0.0,0.42116014343516395,0.0,0.0,0.0,0.0,1.6,0.5174962977166508,0.0,0.0,0.0,-0.4166528599000939,1.0392688200856193,0.9518494862084987,0,refractory
560,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.41497729363182884,0.0,0.0,0.0,0.0,1.6,0.559868505871503,0.0,0.0,0.0,-0.4193197581046801,1.03822193834502,0.9305865398050392,0,refractory
561,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4129836013035413,0.0,0.0,0.0,0.0,1.6,0.5998782000302263,0.0,0.0,0.0,-0.4194933971679297,1.0356703847766047,0.909472434026404,0,refractory
562,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4200348405635631,0.0,0.0,0.0,0.0,1.6,0.6371482144427859,0.0,0.0,0.0,-0.4194198595690313,1.0331366920831686,0.8885061269882192,0,refractory
563,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.42473983938185167,0.0025428810803057034,0.0,0.0,0.0,1.6,0.6718814400885885,0.0,0.0,0.0,-0.4188649587587078,1.0306207352385863,0.8676865840993017,0,refractory
564,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4270173734610041,0.008972032450721146,0.0,0.0,0.0,1.6,0.7042790861390158,0.0,0.0,0.0,-0.4177142905067038,1.0281223900919163,0.8470127780106066,0,refractory
565,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.41199347607136766,0.01739505888017348,0.0,0.0,0.0,1.6,0.7352803646041913,0.0,0.0,0.0,-0.416250830614311,1.0256415333612727,0.8264836885645324,0,refractory
566,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.418092608177345,0.029828428695486076,0.0,0.0,0.0,1.6,0.7638769053002786,0.0,0.0,0.0,-0.41417191160209504,1.023178042627744,0.8060983027445807,0,refractory
