t,mode,x,y,z,h,e,r,gate,drive,effective_input
5.2,activator_moderator,1.0331751204678568,0.6496349433636288,-0.14119208814956075,0.6881878001583157,0.09862574589892217,1.8368205785821048,0.28698400763599985,0.1445534187363115,0.1455730813796641
5.21,activator_moderator,1.039671469901493,0.6482230224821333,-0.14711202947132174,0.6879959247664129,0.09893314184840166,1.8414943388186984,0.28735899130534603,0.14432911775710508,0.1453440010319855
5.22,activator_moderator,1.0461537001263144,0.6467519021874201,-0.15306719206294697,0.6876820271880947,0.09924262129566003,1.846166410716963,0.28773683765221514,0.14410539818174342,0.14511552956493803
5.23,activator_moderator,1.0526212191481885,0.6452212302667906,-0.1590574888086869,0.6872465298374815,0.09955417697572565,1.8508360499212346,0.288117543981673,0.1438823009286549,0.14488770861923142
5.24,activator_moderator,1.0590734314508565,0.6436306553787037,-0.16508282781227696,0.6866899332821058,0.09986780121840075,1.8555025133085128,0.2885011070997573,0.14365986688370402,0.14466057979211563
5.25,activator_moderator,1.0655097380046437,0.6419798271005809,-0.17114311232655957,0.686012815471038,0.10018348594878929,1.8601650591238237,0.28888752331145473,0.14343813690022622,0.14443418463754898
5.26,activator_moderator,1.0719295362756496,0.6402683959773153,-0.17723824068336955,0.6852158308978871,0.10050122268782759,1.8648229471150892,0.2892767884186484,0.14321715179873082,0.14420856466603124
5.2700000000000005,activator_moderator,1.0783322202354226,0.6384960135704816,-0.18336810622360666,0.6842997096998625,0.1008210025528213,1.8694754386679946,0.2896688977180389,0.14299695236623802,0.14398376134406715
5.28,activator_moderator,1.0847171803711275,0.6366623325082456,-0.18953259722742297,0.6832652566941465,0.10114281625799268,1.8741217969413269,0.29006384599904655,0.14277757935522037,0.1437598160932307
5.29,activator_moderator,1.09108380369621,0.6347670065359713,-0.19573159684445654,0.682113350352895,0.1014666541150425,1.8787612870032397,0.2904616275416984,0.14255907348211752,0.14353677028879777
5.3,activator_moderator,1.0974314737615698,0.6328096905675267,-0.20196498302404828,0.6808449417182464,0.10179250603373101,1.8833931759688844,0.29086223611450784,0.14234147542539746,0.14331466525792008
5.3100000000000005,activator_moderator,1.1037595706672452,0.6307900407372862,-0.2082326284453839,0.6794610532587784,0.10212036152248277,1.8880167331398219,0.29126566497235223,0.14212482582313776,0.1430935422773141
5.32,activator_moderator,1.1100674710746181,0.6287077144528324,-0.21453440044750843,0.6779627776689132,0.1024502096890205,1.8926312301456134,0.2916719068543568,0.14190916527010344,0.14287344257044052
5.33,activator_moderator,1.1163545482191464,0.6265623704483573,-0.22087016095916726,0.6763512766128282,0.102782039241033,1.897235941087964,0.2920809539817903,0.14169453431429835,0.1426544073041509
5.34,activator_moderator,1.12262017192363,0.6243536688387656,-0.22723976642843352,0.6746277794144823,0.10311583848688279,1.9018301426877653,0.2924927980559823,0.14148097345297064,0.1424364775847826
5.3500000000000005,activator_moderator,1.1288637086120177,0.6220812711744813,-0.23364306775208898,0.6727935816954232,0.1034515953363588,1.9064131144353629,0.2929074302562681,0.14126852312805427,0.1422196944536823
5.36,activator_moderator,1.1350845213237626,0.6197448404969604,-0.24007991020473202,0.6708500439620906,0.10378929730148033,1.910984138744344,0.29332484123797103,0.1410572237210293,0.14200409888214235
5.37,activator_moderator,1.1412819697287322,0.6173440413949132,-0.2465501333675939,0.6687985901443733,0.1041289314973577,1.915542501109113,0.29374502113042966,0.1408471155471883,0.14178973176573578
5.38,activator_moderator,1.1474554101426813,0.6148785400612372,-0.2530535710570521,0.6666407060872325,0.10447048464311606,1.9200874902664953,0.2941679595350792,0.14063823884929597,0.1415766339180374
5.39,activator_moderator,1.1536041955432936,0.6123480043506667,-0.25959005125283624,0.6643779379972378,0.10481394306288819,1.9246183983615774,0.29459364552359635,0.14043063379063198,0.14136484606372152
5.4,activator_moderator,1.1597276755868002,0.6097521038381384,-0.26615939602593075,0.6620118908459068,0.10515929268688264,1.9291345211179607,0.29502206763611594,0.1402243404474101,0.14115440883102842
5.41,activator_moderator,1.1658251966251816,0.607090509877879,-0.27276142146618587,0.6595442267317769,0.10550651905253353,1.933635158012574,0.2954532138795299,0.140019398800567,0.14094536274359343
5.42,activator_moderator,1.1718961017239604,0.6043628956632172,-0.2793959376096557,0.656976663203171,0.10585560730573808,1.938119612455156,0.29588707172587714,0.1398158487269181,0.1407377482116363
5.43,activator_moderator,1.1779397306805925,0.6015689362871206,-0.2860627483656908,0.654310971543653,0.10620654220218842,1.9425871919724895,0.296323628110834,0.13961372998967872,0.14053160552250846
5.44,activator_moderator,1.1839554200434637,0.5987083088034637,-0.29276165144381944,0.6515489750221972,0.1065593081088038,1.947037208397423,0.2967628694323164,0.13941308222835164,0.14032697483060028
5.45,activator_moderator,1.1899425031314983,0.5957806922890255,-0.2994924382804601,0.6486925471101234,0.10691388900526956,1.9514689780626975,0.29720478154920094,0.139213944947984,0.14012389614661058
5.46,activator_moderator,1.1959003100543886,0.592785767906221,-0.3062548939655147,0.6457436096668727,0.10727026848568892,1.9558818219995429,0.297649349780178,0.1390163575077998,0.1399224093261856
5.47,activator_moderator,1.2018281677334508,0.5897232189665658,-0.3130487971688987,0.6427041310967221,0.10762842976035394,1.9602750661409858,0.29809655890274334,0.13882035910921395,0.13972255405793274
5.48,activator_moderator,1.2077253999231166,0.5865927309948767,-0.3198739200670731,0.6395761244785506,0.10798835565764138,1.964648041529766,0.29854639315234055,0.13862598878323906,0.1395243698508214
5.49,activator_moderator,1.2135913272330654,0.583393991794206,-0.3267300282696476,0.6363616456707911,0.1083500286260396,1.9690000845307276,0.29899883622166323,0.13843328537729654,0.13932789602098203
5.5,activator_moderator,1.2194252671510075,0.5801266915115095,-0.3336168807461327,0.6330627913937089,0.10871343073631212,1.9733305370475107,0.29945387126012635,0.13824228754144563,0.13913317167791764
5.51,activator_moderator,1.2252265340661226,0.5767905227040482,-0.34053422975292363,0.6296816972911624,0.1090785436838035,1.977638746743337,0.29991148087351643,0.13805303371404698,0.13894023571014458
5.5200000000000005,activator_moderator,1.230994439293163,0.573385180406519,-0.3474818207606047,0.6262205359740064,0.10944534879089281,1.9819240672656437,0.3003716471238306,0.1378655621068797,0.13874912677028198
5.53,activator_moderator,1.2367282910972284,0.5699103621989129,-0.35445939238166874,0.6226815150473027,0.10981382700960005,1.9861858584742875,0.3008343515293131,0.13767991068973154,0.13855988325960944
5.54,activator_moderator,1.2424273947192175,0.5663657682750962,-0.36146667629875057,0.6190668751235063,0.1101839589243504,1.9904234866730037,0.3012995750646986,0.13749611717448498,0.13837254331211682
5.55,activator_moderator,1.2480910524019684,0.5627511015121087,-0.3685033971934785,0.6153788878237915,0.11055572475490098,1.994636324843774,0.3017672981616716,0.1373142189987242,0.13818714477807076
5.5600000000000005,activator_moderator,1.2537185634170895,0.559066067540174,-0.3755692726760515,0.61161985376968,0.11092910435943465,1.9988237528837216,0.3022375007095491,0.13713425330888893,0.1380037252071247
5.57,activator_moderator,1.2593092240924912,0.5553103748134135,-0.3826640132156536,0.6077921005671272,0.11130407723782489,2.0029851578441233,0.3027101620561972,0.13695625694300395,0.1378223218310016
5.58,activator_moderator,1.2648623278406255,0.551483734681257,-0.3897873220718201,0.6038979807852096,0.11168062253507584,2.007119934171095,0.3031852610091873,0.13678026641301402,0.13764297154577917
5.59,activator_moderator,1.270377165187438,0.5475858614605388,-0.39693889522687326,0.599939869931549,0.11205871904494073,2.0112274839474833,0.3036627758372008,0.13660631788675698,0.13746571089381146
5.6000000000000005,activator_moderator,1.2758530238020434,0.54361647250827,-0.4041184213195457,0.5959201644265907,0.11243834521372219,2.015307217135464,0.3041426842716897,0.13643444716960745,0.13729057604531886
5.61,activator_moderator,1.281289188527126,0.5395752882950746,-0.41132558157991383,0.5918412795788369,0.11281947914425705,2.019358551819327,0.30462496350879936,0.13626468968582764,0.13711760277968404
5.62,activator_moderator,1.2866849414100767,0.5354620324792755,-0.41856004976576255,0.5877056475631177,0.11320209860008831,2.0233809144479076,0.3051095902115602,0.13609708045966076,0.13694682646648965
5.63,activator_moderator,1.2920395617348694,0.5312764319816179,-0.4258214921005034,0.5835157154039555,0.1135861810098262,2.0273737400760923,0.305596540512355,0.1359316540962061,0.13677828204633705
5.64,activator_moderator,1.2973523260546855,0.5270182170606128,-0.43310956721276994,0.5792739429660593,0.11397170347170014,2.031336472604829,0.30608579001566594,0.13576844476211422,0.13661200401148513
